Year,Quarter,District,Price
2006,Q3,Retiro,4321.2
2006,Q3,Salamanca,4763.7
2006,Q3,San Blas,3366.4
2006,Q3,Tetuan,3955.1
2006,Q3,Usera,3076.1
2006,Q3,Vicalvaro,3158.5
2006,Q3,Villa de Vallecas,3113.1
2006,Q3,Villaverde,2803.3
2006,Q4,Arganzuela,3980.4
2006,Q4,Barajas,3707.3
2006,Q4,Carabanchel,3210.2
2006,Q4,Centro,4304.5
2006,Q4,Chamartin,4797.8
2006,Q4,Chamberi,4829
2006,Q4,Ciudad Lineal,3818.4
2006,Q4,Fuencarral,3868.2
2006,Q4,Hortaleza,3819.6
2006,Q4,Latina,3223.4
2006,Q4,Madrid,3996.5
2006,Q4,Moncloa,4275.3
2006,Q4,Moratalaz,3391.1
2006,Q4,Puente de Vallecas,3138.2
2006,Q4,Retiro,4397
2006,Q4,Salamanca,4811.7
2006,Q4,San Blas,3446.7
2006,Q4,Tetuan,3954.3
2006,Q4,Usera,3096.2
2006,Q4,Vicalvaro,3169.5
2006,Q4,Villa de Vallecas,3158.3
2006,Q4,Villaverde,2867.5
2007,Q1,Arganzuela,3970.8
2007,Q1,Barajas,3687.7
2007,Q1,Carabanchel,3227.7
2007,Q1,Centro,4398.2
2007,Q1,Chamartin,4860.6
2007,Q1,Chamberi,4927.5
2007,Q1,Ciudad Lineal,3788.4
2007,Q1,Fuencarral,3920.5
2007,Q1,Hortaleza,3840.2
2007,Q1,Latina,3239.5
2007,Q1,Madrid,4030.1
2007,Q1,Moncloa,4308.1
2007,Q1,Moratalaz,3353.4
2007,Q1,Puente de Vallecas,3138.2
2007,Q1,Retiro,4420.8
2007,Q1,Salamanca,4995.3
2007,Q1,San Blas,3450.7
2007,Q1,Tetuan,3960.7
2007,Q1,Usera,3030.6
2007,Q1,Vicalvaro,3091.4
2007,Q1,Villa de Vallecas,3175.9
2007,Q1,Villaverde,2831.8
2007,Q2,Arganzuela,3927
2007,Q2,Barajas,3730.2
2007,Q2,Carabanchel,3182.9
2007,Q2,Centro,4454.4
2007,Q2,Chamartin,4884.6
2007,Q2,Chamberi,4941.8
2007,Q2,Ciudad Lineal,3762
2007,Q2,Fuencarral,3916.6
2007,Q2,Hortaleza,3870.8
2007,Q2,Latina,3213.8
2007,Q2,Madrid,4034.7
2007,Q2,Moncloa,4386
2007,Q2,Moratalaz,3375.1
2007,Q2,Puente de Vallecas,3088.7
2007,Q2,Retiro,4418.4
2007,Q2,Salamanca,5001
2007,Q2,San Blas,3453.6
2007,Q2,Tetuan,3921.9
2007,Q2,Usera,3021.4
2007,Q2,Vicalvaro,3124.4
2007,Q2,Villa de Vallecas,3091.4
2007,Q2,Villaverde,2829.6
2007,Q3,Arganzuela,3913.5
2007,Q3,Barajas,3651.2
2007,Q3,Carabanchel,3147.7
2007,Q3,Centro,4404.7
2007,Q3,Chamartin,4913.4
2007,Q3,Chamberi,4909.5
2007,Q3,Ciudad Lineal,3768.8
2007,Q3,Fuencarral,3891.6
2007,Q3,Hortaleza,3878.4
2007,Q3,Latina,3161.6
2007,Q3,Madrid,3999.7
2007,Q3,Moncloa,4430
2007,Q3,Moratalaz,3327.1
2007,Q3,Puente de Vallecas,3040.4
2007,Q3,Retiro,4417.8
2007,Q3,Salamanca,5082.3
2007,Q3,San Blas,3392
2007,Q3,Tetuan,3920.1
2007,Q3,Usera,3019.7
2007,Q3,Vicalvaro,3122.3
2007,Q3,Villa de Vallecas,3140.8
2007,Q3,Villaverde,2839.8
2007,Q4,Arganzuela,3893.9
2007,Q4,Barajas,3638.1
2007,Q4,Carabanchel,3103
